lat,lon,elevation_m,distance_km,grade_percent
36.237689,-116.769672,-77.6,12.022,-0.0421940928270018
36.238301,-116.770103,-77.8,12.104,-0.2439024390243968
36.238931,-116.770528,-77.9,12.187,-0.12048192771085338
36.239463,-116.7709,-78.1,12.258,-0.2816901408450555
36.239966,-116.771199,-78.2,12.323,-0.15384615384616393
36.240531,-116.771475,-78.4,12.393,-0.28571428571428864
36.241136,-116.7717,-78.5,12.466,-0.13698630136985782
36.241588,-116.771828,-78.7,12.52,-0.3703703703703738
36.242245,-116.771963,-78.8,12.597,-0.12987012987012256
36.243022,-116.772112,-79.0,12.688,-0.2197802197802203
36.243847,-116.772277,-79.1,12.785,-0.10309278350514929
36.247165,-116.772913,-79.3,13.174,-0.0514138817480728
36.247832,-116.773045,-79.4,13.253,-0.12658227848102244
36.251774,-116.773789,-79.6,13.715,-0.04329004329004085
36.25217,-116.773883,-79.7,13.761,-0.21739130434784756
36.252615,-116.774016,-79.9,13.815,-0.3703703703703738
36.252996,-116.774146,-80.0,13.861,-0.21739130434780832
36.25335,-116.774291,-80.2,13.903,-0.4761904761904851
36.253689,-116.774443,-80.3,13.945,-0.23809523809522562
36.253982,-116.774586,-80.5,13.981,-0.5555555555555698
36.254253,-116.774731,-80.6,14.016,-0.2857142857142683
36.254595,-116.774935,-80.8,14.06,-0.454545454545456
36.255116,-116.775283,-80.0,14.128,1.1764705882352966
36.255697,-116.775719,-79.3,14.208,0.8750000000000029
36.257008,-116.77674,-78.5,14.387,0.4469273743016737
36.257653,-116.777227,-77.8,14.475,0.795454545454556
36.258318,-116.777757,-77.0,14.566,0.8791208791208656
36.261569,-116.780286,-76.3,15.011,0.15730337078651802
36.26222,-116.780778,-75.5,15.099,0.9090909090908958
36.266183,-116.783863,-74.7,15.641,0.14760147601475967
36.266866,-116.784381,-74.0,15.734,0.752688172043014
36.268872,-116.785958,-73.2,16.01,0.2898550724637654
36.269452,-116.786467,-72.5,16.093,0.8433734939759232
36.270136,-116.787128,-71.7,16.193,0.7999999999999858
36.270489,-116.787504,-70.9,16.247,1.4814814814815176
36.270968,-116.788034,-70.2,16.321,0.945945945945929
36.271326,-116.788474,-69.4,16.379,1.3793103448275854
36.271879,-116.789224,-68.7,16.474,0.7368421052631696
36.27254,-116.790207,-67.9,16.594,0.6666666666666587
36.272801,-116.790643,-67.2,16.645,1.3725490196078924
36.273233,-116.791408,-66.4,16.732,0.9195402298850569
36.27403,-116.792875,-65.6,16.898,0.48192771084337926
36.275389,-116.795374,-64.9,17.179,0.24911032028469451
36.275549,-116.795647,-64.1,17.21,2.580645161290163
36.276437,-116.797277,-63.4,17.395,0.3783783783783787
36.276842,-116.797963,-62.6,17.474,1.0126582278480896
36.277038,-116.798267,-61.9,17.511,1.891891891891949
36.277423,-116.798781,-61.1,17.576,1.2307692307692022
36.277822,-116.799251,-60.8,17.64,0.4687500000000062
36.278355,-116.799783,-60.4,17.719,0.5063291139240448
36.278617,-116.800014,-60.1,17.757,0.7894736842105134
36.278949,-116.800272,-59.7,17.802,0.8888888888889221
36.279395,-116.800575,-59.4,17.861,0.5084745762711845
36.28025,-116.801086,-59.1,17.971,0.27272727272727154
36.282586,-116.802454,-58.7,18.271,0.13333333333333255
36.283684,-116.803081,-58.4,18.41,0.21582733812950047
36.284271,-116.803428,-58.1,18.486,0.3947368421052567
