lat,lon,elevation_m,distance_km
36.426135,-116.849131,-53.3,35.976
36.42659,-116.849332,-53.1,36.033
36.426835,-116.849433,-53.0,36.062
36.427196,-116.849627,-52.9,36.108
36.427501,-116.849818,-52.8,36.147
36.427799,-116.850009,-52.7,36.186
36.428352,-116.850447,-52.6,36.262
36.430272,-116.85194,-52.4,36.525
36.430434,-116.852061,-52.3,36.547
36.430513,-116.852105,-52.2,36.557
36.430679,-116.852183,-52.1,36.577
36.430889,-116.852218,-52.0,36.602
36.431107,-116.852223,-51.8,36.627
36.431237,-116.852206,-51.7,36.643
36.431456,-116.852133,-51.6,36.669
36.431684,-116.852004,-50.2,36.698
36.432249,-116.851555,-48.8,36.775
36.432422,-116.851435,-47.3,36.798
36.432588,-116.851349,-45.9,36.819
36.43276,-116.851292,-44.5,36.84
36.432933,-116.851246,-43.1,36.861
36.433133,-116.851237,-41.7,36.884
36.433748,-116.851257,-40.2,36.955
36.437777,-116.851458,-38.8,37.423
36.438015,-116.851495,-37.4,37.451
36.438153,-116.851538,-36.0,37.466
36.438291,-116.851589,-34.6,37.483
36.438512,-116.851692,-33.1,37.511
36.438996,-116.851946,-31.7,37.572
36.439229,-116.852051,-30.3,37.601
36.439453,-116.852108,-28.9,37.627
36.439644,-116.852137,-27.5,37.649
36.439861,-116.852137,-26.1,37.675
36.44015,-116.852067,-24.6,37.708
36.440434,-116.85195,-23.2,37.744
36.440654,-116.851844,-21.8,37.771
36.440832,-116.851744,-20.4,37.794
36.441175,-116.851604,-19.0,37.835
36.44138,-116.851553,-17.5,37.859
36.441578,-116.85152,-16.1,37.882
36.442672,-116.851469,-14.7,38.01
36.444121,-116.851394,-14.9,38.177
36.444523,-116.851392,-15.0,38.224
36.444652,-116.851403,-15.2,38.239
36.444909,-116.85146,-15.4,38.269
36.445221,-116.851557,-15.6,38.307
36.445552,-116.851631,-15.7,38.345
36.445853,-116.851663,-15.9,38.381
36.446758,-116.851676,-16.1,38.486
36.446973,-116.851708,-16.3,38.511
36.447136,-116.851753,-16.4,38.53
36.447269,-116.851819,-16.6,38.547
36.447434,-116.851908,-16.8,38.567
36.447622,-116.852045,-16.9,38.592
36.447986,-116.852351,-17.1,38.643
36.448235,-116.852584,-17.3,38.68
36.448356,-116.852699,-17.5,38.698
36.448401,-116.852773,-17.6,38.706
36.448329,-116.853028,-17.8,38.731
36.448274,-116.853338,-18.0,38.761
36.448251,-116.85365,-18.2,38.79
36.448253,-116.853944,-18.3,38.818
36.448278,-116.854258,-18.5,38.847
36.448321,-116.854515,-18.7,38.872
36.448406,-116.854839,-18.9,38.903
36.448819,-116.856123,-19.0,39.032
36.449635,-116.858714,-19.2,39.292
36.449869,-116.859409,-20.4,39.362
36.450002,-116.859774,-21.6,39.399
36.450118,-116.860039,-22.8,39.428
36.450261,-116.860345,-24.0,39.461
36.450466,-116.86073,-25.2,39.504
36.450731,-116.861191,-26.4,39.557
36.451025,-116.861647,-27.5,39.611
36.451331,-116.862078,-28.7,39.664
36.451773,-116.862608,-29.9,39.736
36.452213,-116.863064,-31.1,39.802
36.452548,-116.863361,-32.3,39.85
36.452996,-116.863726,-33.5,39.912
36.453096,-116.863802,-34.7,39.926
36.453235,-116.863906,-35.9,39.945
36.453503,-116.864083,-37.1,39.979
36.453757,-116.864229,-38.3,40.012
36.45423,-116.864473,-39.5,40.071
36.4545,-116.864597,-40.7,40.104
36.454825,-116.864715,-41.9,40.144
36.455012,-116.864778,-43.0,40.167
36.455151,-116.864826,-44.2,40.183
36.455349,-116.864889,-45.4,40.206
36.455571,-116.86495,-46.6,40.233
36.455877,-116.865011,-47.8,40.269
36.456216,-116.865074,-49.0,40.309
36.456498,-116.865108,-50.2,40.342
36.456888,-116.865142,-50.8,40.387
36.457109,-116.865161,-51.3,40.413
36.45949,-116.865373,-51.9,40.689
36.459705,-116.865386,-52.4,40.714
36.459856,-116.865402,-53.0,40.732
36.460194,-116.865429,-53.5,40.771
36.46086,-116.865469,-54.1,40.849
36.461099,-116.865487,-54.7,40.877
36.461428,-116.865511,-55.2,40.914
36.461812,-116.865548,-55.8,40.959
36.462118,-116.865568,-56.3,40.995
36.46238,-116.86558,-56.9,41.025
36.463375,-116.865578,-57.4,41.141
36.464128,-116.86557,-58.0,41.228
36.464416,-116.865596,-58.6,41.261
36.464666,-116.865636,-59.1,41.291
36.464834,-116.865674,-59.7,41.31
36.46501,-116.865735,-60.2,41.331
36.465269,-116.865826,-60.8,41.363
36.465466,-116.865914,-61.4,41.387
36.46553,-116.865943,-61.9,41.395
36.466121,-116.86619,-62.5,41.467
36.466305,-116.866269,-63.0,41.49
36.466552,-116.866368,-63.6,41.52
36.467181,-116.866613,-64.1,41.596
36.467685,-116.866778,-64.7,41.657
36.467926,-116.866843,-64.5,41.685
36.468184,-116.866889,-64.2,41.715
36.46827,-116.866904,-64.0,41.725
36.468908,-116.866939,-63.8,41.799
36.470393,-116.867045,-63.5,41.972
36.471035,-116.867101,-63.3,42.047
36.471531,-116.867169,-63.1,42.104
36.472476,-116.867353,-62.8,42.215
36.477467,-116.868324,-62.6,42.801
36.478281,-116.868517,-62.4,42.897
36.478926,-116.86871,-62.1,42.973
36.479269,-116.868863,-61.9,43.016
36.479506,-116.868991,-61.6,43.046
36.479624,-116.869069,-61.4,43.062
36.479792,-116.869222,-61.2,43.086
36.47994,-116.86939,-60.9,43.109
36.480356,-116.869808,-60.7,43.171
36.481029,-116.870499,-60.5,43.272
36.481449,-116.870893,-60.2,43.333
36.481651,-116.871047,-60.0,43.36
36.481841,-116.871175,-59.8,43.385
36.482022,-116.871259,-59.5,43.408
36.482191,-116.871316,-59.3,43.428
36.482413,-116.871369,-59.1,43.454
36.482686,-116.871395,-58.8,43.486
36.482938,-116.871387,-58.6,43.516
36.483149,-116.871355,-58.4,43.541
36.483358,-116.871292,-58.1,43.565
36.483531,-116.871219,-57.9,43.587
36.483749,-116.871091,-57.7,43.615
36.48427,-116.8707,-57.5,43.685
36.484644,-116.870404,-57.2,43.737
36.484968,-116.870122,-57.0,43.783
36.485227,-116.869882,-56.8,43.819
