lat,lon,elevation_m,distance_km
36.412852,-116.845768,-54.5,32.998
36.413673,-116.845946,-54.3,33.091
36.415434,-116.846394,-54.2,33.291
36.416302,-116.846605,-54.1,33.389
36.420493,-116.847696,-54.0,33.865
36.420653,-116.847725,-53.9,33.883
36.422875,-116.848275,-53.7,34.135
36.423706,-116.848488,-53.6,34.23
36.424521,-116.848701,-53.5,34.322
36.425536,-116.84894,-53.4,34.437
36.426135,-116.849131,-53.3,34.506
36.42659,-116.849332,-53.1,34.56
36.426835,-116.849433,-53.0,34.588
36.427196,-116.849627,-52.9,34.632
36.427501,-116.849818,-52.8,34.67
36.427799,-116.850009,-52.7,34.707
36.428352,-116.850447,-52.6,34.78
36.430272,-116.85194,-52.4,35.032
36.430434,-116.852061,-52.3,35.053
36.430513,-116.852105,-52.2,35.063
36.430679,-116.852183,-52.1,35.082
36.430889,-116.852218,-52.0,35.106
36.431107,-116.852223,-51.8,35.13
36.431237,-116.852206,-51.7,35.145
36.431456,-116.852133,-51.6,35.17
36.431684,-116.852004,-50.2,35.198
36.432249,-116.851555,-48.8,35.272
36.432422,-116.851435,-47.3,35.294
36.432588,-116.851349,-45.9,35.314
36.43276,-116.851292,-44.5,35.334
36.432933,-116.851246,-43.1,35.354
36.433133,-116.851237,-41.7,35.376
36.433748,-116.851257,-40.2,35.445
36.437777,-116.851458,-38.8,35.893
36.438015,-116.851495,-37.4,35.92
36.438153,-116.851538,-36.0,35.935
36.438291,-116.851589,-34.6,35.951
36.438512,-116.851692,-33.1,35.978
36.438996,-116.851946,-31.7,36.036
36.439229,-116.852051,-30.3,36.064
36.439453,-116.852108,-28.9,36.089
36.439644,-116.852137,-27.5,36.11
36.439861,-116.852137,-26.1,36.135
36.44015,-116.852067,-24.6,36.167
36.440434,-116.85195,-23.2,36.201
36.440654,-116.851844,-21.8,36.227
36.440832,-116.851744,-20.4,36.249
36.441175,-116.851604,-19.0,36.289
36.44138,-116.851553,-17.5,36.312
36.441578,-116.85152,-16.1,36.334
36.442672,-116.851469,-14.7,36.456
36.444121,-116.851394,-14.9,36.617
36.444523,-116.851392,-15.0,36.662
36.444652,-116.851403,-15.2,36.676
36.444909,-116.85146,-15.4,36.705
36.445221,-116.851557,-15.6,36.741
36.445552,-116.851631,-15.7,36.778
36.445853,-116.851663,-15.9,36.812
36.446758,-116.851676,-16.1,36.913
36.446973,-116.851708,-16.3,36.937
36.447136,-116.851753,-16.4,36.955
36.447269,-116.851819,-16.6,36.971
36.447434,-116.851908,-16.8,36.991
36.447622,-116.852045,-16.9,37.015
36.447986,-116.852351,-17.1,37.064
36.448235,-116.852584,-17.3,37.099
36.448356,-116.852699,-17.5,37.116
36.448401,-116.852773,-17.6,37.124
36.448329,-116.853028,-17.8,37.148
36.448274,-116.853338,-18.0,37.177
36.448251,-116.85365,-18.2,37.205
36.448253,-116.853944,-18.3,37.231
36.448278,-116.854258,-18.5,37.259
